ticker,strategy,cr_0,cr_10,ann_return_0,ann_vol_0,sharpe_0,sharpe_10,sortino_0,mdd_0,mdd_10,alpha_ann_0,beta_vs_bh_0,turnover,pct_days_long
TSLA,FinMem-Ours,-0.2312269285515408,-0.2547063072718949,-0.4777790580702945,0.3120755132065415,-1.9245987437897876,-2.1737842512611625,-2.570366748313781,-0.3021006712042126,-0.31937455382536795,-0.5661724457669176,0.6482739406426622,31,0.5392156862745098
TSLA,BuyHold,-0.05065400979388024,-0.051574770509710155,-0.12052138126801715,0.39021047542525983,-0.13617665997242046,-0.14257997166618586,-0.24755432431936972,-0.24004253150421107,-0.24004253150421073,0.0,1.0,1,1.0
TSLA,No-memory,-0.05490656482572431,-0.08023051903463352,-0.13022244328595056,0.2777121758518647,-0.3653432629479203,-0.6028789459589138,-0.4677181717422256,-0.2619722346214649,-0.2760140403407708,-0.07453846440026522,0.506643671183039,27,0.43137254901960786
TSLA,LC-Trader,-0.07862418379000358,-0.0814545684554907,-0.1831581156071831,0.38704497631397355,-0.33119749227161804,-0.34992646459411453,-0.6061110783598885,-0.2395348533209758,-0.24187093470267695,-0.07589594851505958,0.984094448343925,3,0.9805825242718447
TSLA,As-shipped,-0.0915074943819314,-0.10153547519008987,-0.2110868133904038,0.3501970287477268,-0.5036772296983609,-0.5802705106518655,-0.8161829885738467,-0.2656308844655375,-0.27010876059220124,-0.13355735360273918,0.8060008082118713,11,0.803921568627451
NFLX,FinMem-Ours,0.03806088973649335,0.01944582919232274,0.09668001638629553,0.3411563065504993,0.4359356894192097,0.3049249374884688,0.48312069357348353,-0.1544176903335911,-0.15865435152776164,0.20846355431473967,0.8108686839690672,18,0.5490196078431373
NFLX,BuyHold,-0.056489718763857444,-0.057428380466607476,-0.13381763331200347,0.37907513986271374,-0.19435654097048544,-0.20089126241327956,-0.295931073858291,-0.20725488243378443,-0.20725488243378487,0.0,1.0,1,1.0
NFLX,No-memory,0.1983212688741085,0.17458453965931242,0.5635875028204627,0.31836695900599143,1.5588832499617413,1.4022864234037238,1.3588931860407507,-0.1330035702581598,-0.13821632794363914,0.5488454112998218,0.7132401600759318,20,0.39215686274509803
AMZN,FinMem-Ours,0.1547462947432976,0.1329684860525744,0.42685093106059724,0.2291498669658912,1.6650860613573066,1.4559789784201602,2.562652467943393,-0.13473172835030867,-0.14511694008308784,0.15626118082737658,0.5646464287386457,19,0.6666666666666666
AMZN,BuyHold,0.15346582677980236,0.1523448278417494,0.42294515870113614,0.30487441639472374,1.308730617456193,1.301566617155282,2.14508561462685,-0.196418508519707,-0.19641850851970655,0.0,1.0,1,1.0
AMZN,No-memory,0.24472552107747902,0.2213725311154009,0.7174642398792908,0.20501711984191173,2.7413323061174473,2.5158349811153333,4.150076031048919,-0.06806825299276753,-0.07459975655441575,0.38001355165827777,0.45615838136781833,19,0.5392156862745098
MSFT,FinMem-Ours,-0.038669352933502044,-0.054821631694484285,-0.09283620122690972,0.28430188542513735,-0.19934147135318495,-0.34776747218139875,-0.20226113302044285,-0.20840703125218896,-0.21313776324448674,-0.05588499092580329,0.755708046921825,17,0.7156862745098039
MSFT,BuyHold,-0.021924945831084508,-0.022903207044514873,-0.05329727544285512,0.32706694748500204,-0.0031887947323411855,-0.010742393243434551,-0.0040488057572130726,-0.26037954218799053,-0.26037954218799064,0.0,1.0,1,1.0
MSFT,No-memory,-0.06023816961782269,-0.08157941128111978,-0.14229469127441718,0.228253368180487,-0.555733721255022,-0.8065545110420357,-0.36502002608920187,-0.15977305702223865,-0.16841971392207744,-0.1263395162715089,0.48763385480633165,23,0.4215686274509804
COIN,FinMem-Ours,-0.18541292962062894,-0.20489736703323347,-0.3974913781975967,0.5279419922459794,-0.7030094122056839,-0.814268057003155,-1.0236596477722035,-0.27978006925087395,-0.2919877220520377,-0.2146142394517516,0.457381437802702,24,0.5686274509803921
COIN,BuyHold,-0.22796261974049847,-0.2286789621299612,-0.4722836183447724,0.7806932710216584,-0.4383788302748176,-0.44168560277770696,-0.8228094663281642,-0.44856563745281874,-0.44856563745281863,0.0,1.0,1,1.0
COIN,No-memory,-0.2417008060329492,-0.25908728906421685,-0.4951811233795881,0.4050101549714738,-1.487685277199563,-1.625017801976696,-1.6226989414575657,-0.2508793404243679,-0.25908728906421685,-0.5100659568207404,0.2701666933982183,23,0.37254901960784315
