ticker,ours_cr_0,ours_sharpe_0,ours_cr_10,ours_sharpe_10,ours_mdd_10,bh_cr,bh_sharpe,bh_mdd,nomem_cr_0,nomem_sharpe_0,nomem_cr_10,break_even_bps,wilcoxon_p_vs_bh,sharpe_ci_lo,sharpe_ci_hi,buy,hold,sell,momentum_agreement,reasks,fallbacks,top5_share
TSLA,-0.2579772564877134,-2.044452087998407,-0.30467462996859995,-2.500562752082565,-0.3639603859495917,-0.005204644785483548,-0.033841684804002056,-0.24004253150421095,-0.11097692674158977,-0.7947623377741158,-0.16525758740495955,0.0,0.27425489121132496,-5.745104476306863,0.8865509203111567,49,11,42,0.7303370786516854,6,0,-0.6030191476003907
NFLX,0.19086298656201994,1.2186544195173599,0.14074121883700008,0.9192796850597942,-0.11954871406841705,-0.05462140166377594,-0.3723463540485762,-0.20725488243378465,,,,53.7,0.32360182582700314,-2.2047791694387726,3.9002577498715025,48,28,26,0.7746478873239436,0,0,2.1819958757283504
AMZN,0.23754213354397669,1.8757859969221078,0.18782898931325787,1.4984490699929127,-0.1943264084885139,0.19487865186948183,1.4773475218381806,-0.19641850851970655,,,,8.6,0.8828056627244223,-2.886477760105152,5.350490377607213,66,15,21,0.7619047619047619,0,0,1.3292306812082382
MSFT,-0.07014786528594885,-0.6241217840328135,-0.10750083455730874,-0.978068016544555,-0.20496235418758468,-0.04375811399486329,-0.3379692001268936,-0.2603795421879904,,,,0.0,0.7618697223099105,-4.511936977199247,2.994689684062272,56,28,18,0.7361111111111112,0,0,-1.6505669692591942
COIN,-0.21974914231401887,-0.983277739587642,-0.262979667211679,-1.206566725068418,-0.48044624219016374,-0.20082019297823495,-0.7236222591363675,-0.44856563745281874,,,,0.0,0.8359996951418118,-4.008195064775826,2.1520522742458152,52,16,34,0.7023809523809523,4,0,-1.6037069571276732
